cap,bmp,label,block,n_stock_months,n_months,night_3f,night_t,day_3f,day_t
inf,True,no cap (∞),A,220971,122,2.5462392022752747,10.940195321857919,-1.5092970077058334,-6.014943565151465
inf,True,no cap (∞),B,256755,131,0.5788548590909004,2.315742146530797,-1.1578593730274704,-4.912389821926924
inf,False,no cap (∞),A,220971,122,2.5462392022752747,10.940195321857919,-1.5092970077058334,-6.014943565151465
inf,False,no cap (∞),B,256755,131,0.5783164033629219,2.3128034692366617,-1.1578593730274704,-4.912389821926924
2.0,True,cap 200%,A,220971,122,2.5462392022752747,10.940195321857919,-1.5092970077058334,-6.014943565151465
2.0,True,cap 200%,B,256755,131,0.5787738507541405,2.315572912926052,-1.1577425986482297,-4.910033295868579
2.0,False,cap 200%,A,220971,122,2.5462392022752747,10.940195321857919,-1.5092970077058334,-6.014943565151465
2.0,False,cap 200%,B,256755,131,0.578235395026162,2.312634342156178,-1.1577425986482297,-4.910033295868579
1.0,True,cap 100% [baseline],A,220971,122,2.5462392022752747,10.940195321857919,-1.5092970077058334,-6.014943565151465
1.0,True,cap 100% [baseline],B,256755,131,0.5773488527843329,2.31015875918544,-0.8471189593735196,-3.819402609346873
1.0,False,cap 100% [baseline],A,220971,122,2.5462392022752747,10.940195321857919,-1.5092970077058334,-6.014943565151465
1.0,False,cap 100% [baseline],B,256755,131,0.5768103970563545,2.3072118581683,-0.8471189593735196,-3.819402609346873
0.5,True,cap 50%,A,220971,122,2.5353833117960862,10.857642819309474,-1.492815910248928,-5.9266253649794205
0.5,True,cap 50%,B,256755,131,0.5845529143894147,2.371242915473576,-0.791781545287671,-3.3917945512263095
0.5,False,cap 50%,A,220971,122,2.5353833117960862,10.857642819309474,-1.492815910248928,-5.9266253649794205
0.5,False,cap 50%,B,256755,131,0.5840144586614362,2.3682806299564976,-0.791781545287671,-3.3917945512263095
