var,paper_close,A_close,A_close_t,B_close,B_close_t,paper_night,A_night,A_night_t,B_night,B_night_t,paper_day,A_day,A_day_t,B_day,B_day_t,paper_oi,A_oi,A_oi_t,B_oi,B_oi_t,paper_scaled,A_scaled,A_scaled_t,B_scaled,B_scaled_t,paper_n,A_n,B_n
ret_night,-0.161,1.026,0.942,-1.292,-0.810,4.585,5.193,6.288,1.967,1.634,-4.792,-4.119,-4.703,-3.842,-3.514,9.377,9.313,7.023,5.808,3.339,23.982,22.332,6.122,16.882,3.688,454825,194234,216737
ret_day,-2.959,-2.102,-2.219,-1.777,-1.341,-7.444,-5.797,-5.537,-2.966,-4.051,4.484,3.864,2.877,2.138,1.833,-11.928,-9.661,-4.351,-5.104,-3.546,-26.766,-22.218,-3.656,-11.962,-2.645,454825,194234,216737
ewma_night,-4.910,-1.965,-1.504,1.000,0.513,16.836,3.770,3.564,2.963,2.334,-21.685,-5.763,-7.194,-3.370,-2.871,38.520,9.532,6.968,6.333,4.279,103.156,26.447,7.828,16.507,3.916,454825,194234,216737
ewma_day,-2.456,-0.535,-0.482,-1.848,-1.394,-15.564,-2.454,-3.490,-2.347,-2.109,13.583,1.984,1.597,3.221,2.161,-29.147,-4.438,-2.676,-5.568,-2.573,-71.499,-10.692,-2.114,-15.112,-2.426,454825,194234,216737
mom,0.232,-0.031,-0.058,0.543,1.858,0.640,0.406,1.176,0.950,4.880,-0.415,-0.456,-1.659,-0.387,-2.290,1.056,0.862,2.711,1.337,5.875,2.411,2.241,2.537,2.732,4.394,454825,194234,216737
size,-0.076,-0.154,-3.186,0.072,1.565,0.141,0.253,6.368,0.092,2.147,-0.227,-0.409,-7.824,-0.017,-0.419,0.368,0.662,8.368,0.109,1.538,1.031,1.856,8.299,0.191,1.023,454825,194234,216737
bm,0.028,0.082,0.260,-0.532,-1.590,0.148,0.383,2.731,-0.108,-0.465,-0.120,-0.274,-1.254,-0.335,-1.961,0.268,0.657,3.490,0.227,0.976,0.646,1.537,2.120,1.088,1.834,454825,194234,216737
ivol,-0.045,0.107,0.717,-0.102,-0.798,0.165,0.247,2.411,0.010,0.101,-0.149,-0.112,-1.258,-0.101,-1.206,0.314,0.358,2.998,0.110,0.866,0.777,0.750,2.299,0.385,1.148,454825,194234,216737
beta,-0.073,-0.311,-1.080,0.031,0.090,0.125,0.003,0.014,0.252,1.090,-0.200,-0.318,-1.781,-0.178,-0.851,0.325,0.321,1.362,0.429,1.526,0.910,1.178,1.784,1.001,1.286,454825,194234,216737
turnover,0.102,0.002,0.207,0.029,1.631,0.197,0.060,8.402,0.039,2.818,-0.124,-0.061,-8.876,-0.014,-1.526,0.322,0.122,11.813,0.053,3.311,0.729,0.309,11.054,0.106,2.809,454825,194234,216737
roe,0.214,0.541,1.018,0.043,0.119,-0.214,-0.445,-0.765,-0.043,-0.182,0.427,0.991,2.775,0.141,0.531,-0.641,-1.436,-1.767,-0.184,-0.533,-1.870,-4.270,-2.330,-0.579,-0.571,454825,194234,216737
inv,-0.531,0.071,0.600,0.019,0.122,0.001,0.038,0.587,-0.025,-0.170,-0.542,0.027,0.254,0.042,0.424,0.542,0.011,0.078,-0.067,-0.349,2.001,-0.049,-0.113,-0.189,-0.423,454825,194234,216737
issue,-0.878,-0.525,-1.456,-0.197,-0.434,-0.238,0.048,0.092,-1.425,-4.329,-0.635,-0.488,-0.963,1.125,2.507,0.397,0.537,0.554,-2.551,-3.955,2.019,1.869,0.758,-6.110,-3.271,454825,194234,216737
accruals,-0.403,-1.540,-1.382,0.185,0.113,-0.239,-1.215,-1.692,-0.635,-0.578,-0.210,-0.364,-0.523,0.808,1.038,-0.029,-0.852,-0.982,-1.444,-1.354,0.447,-0.324,-0.129,-3.856,-1.446,454825,194234,216737
