strategy,strat_type,paper_tugofwar,paper_tugofwar_t,paper_factor_ret,paper_factor_ret_t,paper_factor_vol,paper_factor_vol_t,A_tugofwar,A_tugofwar_t,A_factor_ret,A_factor_ret_t,A_factor_vol,A_factor_vol_t,A_n,B_tugofwar,B_tugofwar_t,B_factor_ret,B_factor_ret_t,B_factor_vol,B_factor_vol_t,B_n
MOM,night,1.9670,2.4800,0.0010,0.0000,-1.1890,-1.4600,0.5431,0.2920,-9.0369,-3.4180,-0.1201,-0.3913,64,-4.9251,-1.1380,-9.5559,-2.8025,-0.1411,-0.3494,132
SIZE,day,1.0270,1.5700,0.5570,1.0100,-1.2070,-1.1800,1.5317,0.3018,-8.6015,-2.0897,-0.3093,-0.5682,64,2.6651,1.7696,-4.4049,-0.8903,1.1605,1.8962,132
BM,day,-0.0740,-0.1200,-0.3140,-0.3900,1.2120,1.3000,2.0992,1.0512,-2.8450,-0.7328,-0.5573,-0.5950,64,5.7071,1.8278,-4.2854,-0.6928,0.5168,1.7585,132
ROE,day,1.1000,2.4700,-1.2550,-1.2900,1.2790,1.6200,4.7354,1.9430,-13.3948,-1.7684,1.8384,1.1938,64,-1.4646,-0.8615,-0.9242,-0.4671,0.6777,1.5437,132
INV,day,1.3390,1.9300,-1.0610,-1.3200,0.8210,1.0400,4.1489,1.3132,-8.2106,-2.0420,-0.2693,-0.3799,64,10.5034,3.4434,-2.3828,-1.0095,1.0742,2.1154,132
BETA,day,1.3400,1.1800,0.0240,0.0300,-0.4270,-0.5800,2.7222,0.4215,-7.3259,-1.8271,-0.1554,-0.2446,64,3.5563,1.7404,-16.7772,-3.8453,-0.2004,-0.6863,132
IVOL,day,1.2070,2.1100,-1.2280,-1.3300,1.8420,1.7600,6.6692,1.0083,-13.7458,-2.0191,0.1611,0.2022,64,-5.7668,-2.2461,-13.0079,-2.7584,0.0197,0.0598,132
ISSUE,day,2.2770,2.8600,-5.2580,-4.0000,0.2810,0.4100,7.1298,1.2034,-27.8839,-3.9091,0.1794,0.4304,64,-0.3560,-0.3972,-3.7900,-2.3061,0.9613,3.5631,132
ACCRUALS,day,0.4700,0.9500,-1.1970,-1.3000,2.0450,3.6200,28.3356,2.0654,-35.2123,-3.0979,-0.8720,-2.9155,64,-3.0122,-0.8500,-2.5782,-1.0002,0.5256,2.0757,132
TURNOVER,day,2.0980,3.5300,-0.9010,-0.9300,0.8580,0.9500,3.9048,0.5058,-23.5717,-2.7099,-0.0087,-0.0141,64,3.3816,0.9435,-5.1905,-1.2566,0.3041,0.6686,132
STR,night,1.4020,2.3900,-2.8900,-2.4300,-1.2360,-1.8300,-1.2904,-0.2213,-14.1968,-2.5789,-0.4760,-0.8791,64,-7.5008,-2.1083,-8.3005,-2.7128,-0.2909,-0.5065,132
